cost_adjusted_rank,unique_rank,combo_id,candidate_set,combiner_score,cost_adjusted_objective,total_r_baseline,profit_factor_baseline,trades,avg_r_per_trade,total_r_0.02,profit_factor_0.02,total_r_0.03,profit_factor_0.03,family_diversity_strategies,r_ret_01_to_02,r_ret_01_to_03,pf_decay_01_to_02,pf_decay_01_to_03,PASS_0_02,FAIL_0_02,PASS_0_03,FAIL_0_03,THIN_EDGE
1,50,146,indicator_completion_core,0.3492212779842074,0.26828555131540743,43.545646696105045,1.2574245136232836,502,0.0867443161276993,,,,,5,,,,,False,True,False,True,False
2,49,145,indicator_completion_core,0.3492212779842074,0.26828555131540743,43.545646696105045,1.2574245136232836,502,0.0867443161276993,,,,,5,,,,,False,True,False,True,False
3,38,314,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
4,29,293,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
5,30,294,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
6,31,295,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
7,32,296,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
8,33,297,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
9,34,298,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
10,35,299,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
11,36,300,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
12,37,313,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
13,39,315,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
14,27,291,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
15,40,316,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
16,41,317,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
17,42,318,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
18,43,319,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
19,44,320,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
20,45,321,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
21,46,322,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
22,47,323,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
23,48,324,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
24,28,292,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
25,26,290,vwap_core,1.169087322138065,-0.12815187548563203,36.70651309752729,1.2313607163714582,294,0.1248520853657391,,,,,2,,,,,False,True,False,True,False
26,25,289,vwap_core,1.169087322138065,-0.30934219582127187,36.70651309752729,1.2313607163714582,294,0.1248520853657391,11.853403778471325,1.11675355024276,-20.740575970581077,0.991451586388414,2,0.32292372056635965,-0.5650380333178051,-0.11460716612869826,-0.23990912998304414,True,False,False,True,True
27,2,304,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
28,3,307,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
29,4,308,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
30,5,311,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
31,6,312,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
32,7,327,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
33,8,328,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
34,9,331,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
35,10,332,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
36,11,335,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
37,12,336,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
38,1,303,vwap_core,1.320973925194106,-0.4608214062994297,42.20312730317042,1.2103201928043104,337,0.1252318317601496,10.558804534256389,1.08508619326278,-23.661208049482404,0.9697706488606236,2,0.2501900974874718,-0.5606505859034979,-0.12523399954153036,-0.24054954394368677,True,False,False,True,True
39,13,301,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
40,15,305,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
41,16,306,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
42,17,309,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
43,18,310,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
44,19,325,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
45,20,326,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
46,21,329,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
47,22,330,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
48,23,333,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
49,24,334,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
50,14,302,vwap_core,1.2863327415398351,-0.7337317658172716,40.42377038815583,1.188357310137212,346,0.1168317063241498,8.367447224264142,1.0662669126692172,-26.198826873864824,0.9538972041797312,2,0.20699324046021705,-0.6481044846212832,-0.12209039746799477,-0.2344601059574808,True,False,False,True,True
