group,trades,total_r,avg_r,win_rate,max_loss_r,profit_factor_r,avg_bars_held,exit_reason_unique
2025-12-03,4,-4.033613445378119,-1.0084033613445298,0.0,-1.0084033613445298,0.0,12.0,1
2025-12-12,4,-4.022220674282509,-1.0055551685706272,0.0,-1.0067567567567506,0.0,8.75,1
2025-12-16,4,-4.0214803312629215,-1.0053700828157304,0.0,-1.0059523809523758,0.0,14.0,1
2025-12-30,4,-3.6713064227480565,-0.9178266056870141,0.0,-1.0212765957446603,0.0,13.5,2
2025-12-11,3,-3.028483309143661,-1.0094944363812204,0.0,-1.0096153846153753,0.0,4.333333333333333,1
2025-12-23,3,-3.0185185185185013,-1.006172839506167,0.0,-1.006172839506167,0.0,23.0,1
2025-12-29,3,-3.009118541033426,-1.0030395136778087,0.0,-1.0030395136778087,0.0,34.0,1
2025-12-10,4,-1.4838332684065902,-0.37095831710164756,0.5,-1.0066225165562854,0.2629643962848801,45.0,2
2025-12-22,1,-1.0078124999999931,-1.0078124999999931,0.0,-1.0078124999999931,0.0,43.0,1
2025-12-04,1,-1.0050251256281362,-1.0050251256281362,0.0,-1.0050251256281362,0.0,22.0,1
2025-12-18,2,0.6359891598916118,0.3179945799458059,0.5,-0.5022222222222202,2.2663500971293202,30.0,1
2025-12-01,2,2.73802395209587,1.369011976047935,1.0,1.2440119760479265,,19.5,1
